,,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10
1,9,"1,612014264","0,345666056","1,059043192","0,297746088","1,296526714","1,384809894","0,704435168","0,040311414","0,862595646","1,107119698"
1,10,"1,281732494","1,549119476","0,470900518","1,561489574","0,536008886","0,163169398","1,946558648","0,228794586","1,748611698","1,334211202"
2,9,"1,512410132","1,935411496","0,3972521","0,480028096","0,43980546","0,522024944","1,977261516","0,34311196","0,132509812","1,860160714"
2,10,"1,612052942","1,664691012","0,210863404","0,058042862","0,45854357","0,187098924","0,259653204","1,806430462","0,873638434","1,45512049"
2,11,"0,495080348","1,150243194","0,720248974","1,032560588","1,420301984","1,492016946","1,407342374","1,492414014","0,37034892","1,871661248"
3,10,"1,633618242","1,346756988","0,926993878","1,155089516","0,178641208","1,313763138","1,946690662","1,381188716","1,788980984","0,155599284"
3,11,"0,282486596","0,790995338","1,987634666","0,997398298","0,108120028","1,120935012","0,658547266","1,596057208","0,45949428","1,702681866"
3,12,"1,570644554","0,558597998","0,360283886","0,5774822","0,772551132","1,653597722","0,979403436","1,153079124","0,93417273","0,298251126"
4,11,"0,398975394","1,677854476","0,508765104","1,14092743","1,102323298","1,91343983","0,052676748","1,865197348","0,99899967","0,160797482"
4,12,"0,89057221","0,87484331","1,101995294","0,83332702","0,592524844","1,38796065","1,8685107","1,171129498","0,56166007","1,85881241"
4,13,"0,95600806","1,244172976","1,545855366","0,141554334","0,12304955","0,29940704","1,834346856","0,991582382","0,757837416","1,698613112"
5,12,"0,79678246","1,093282618","1,230190148","1,460965014","1,0268508","0,78492159","1,64199589","1,248721056","1,078891612","0,490309074"
5,13,"0,749118514","1,92357434","1,003700494","0,148494324","0,856989512","1,975518008","1,278757376","1,612708198","0,064899968","1,80694827"
5,14,"0,254279592","1,726077242","1,479550702","1,946915362","0,516980678","0,853408044","0,150998568","0,32801597","1,128748484","1,497565006"
6,13,"1,148999448","0,73891361","1,918506686","1,617810954","0,371816498","0,734972926","0,592356714","0,310999956","0,845692354","1,595126546"
6,14,"1,279840622","0,747575688","0,512582232","0,965602862","1,39931813","1,253326194","1,673528422","0,987257368","1,781270448","1,54556735"
6,15,"1,526855908","0,180749134","0,012178946","1,604758292","0,764440382","0,448364032","1,720541956","0,799099218","1,059418586","0,18420402"
7,14,"1,412564174","1,310521462","1,306589906","0,253667544","0,102688268","1,83826703","0,215452214","1,19626537","1,479490258","1,260018214"
7,15,"1,459283074","0,489225828","1,614251024","1,475892076","1,845045902","1,003455786","1,32974056","1,781540288","0,23841537","0,348418428"
7,16,"1,372740662","0,43109093","0,401546428","0,84264678","1,372357416","0,331474428","1,94213115","0,825224068","0,387620806","0,910851484"
8,15,"1,708122126","1,807435124","0,669004066","1,596971298","0,516234934","0,789531548","1,998457174","0,589007892","1,961902368","1,250823806"
8,16,"0,396336682","1,698010414","1,708499992","0,16856225","1,480667382","1,719907638","1,926469542","0,286101704","0,12520759","0,81752502"
9,17,"0,65425683","0,3525766","0,242870024","1,580885914","0,297918384","0,38387406","1,558156684","1,812822788","1,148985432","0,51416668"
9,18,"1,986834132","0,691534108","0,80139442","0,121007654","0,969636822","1,196715684","1,802382548","1,45406088","1,102336398","1,079408904"
10,17,"1,232122238","0,193422092","1,542812948","1,019141206","1,794107202","1,367965356","0,556229194","1,478532672","1,886285636","1,028690114"
10,18,"1,752364778","1,493767118","1,104682112","1,588521588","1,851432898","1,523918106","0,39487095","1,358482604","0,290381392","0,26256739"
10,19,"0,68684328","0,160190144","0,373555678","0,765636998","1,771333548","1,136318468","0,23872734","1,219274164","0,554311226","0,004775306"
11,18,"1,874861736","0,923013756","0,956361144","0,343667302","0,57910965","1,960399974","1,887050152","0,482093662","1,79324476","1,1745718"
11,19,"0,1560383","1,36576035","0,9733125","0,39687992","1,168515116","1,716287148","1,465534386","0,79039753","0,320681734","0,492078218"
11,20,"0,083133726","1,629705948","1,280704868","1,420314828","1,115166326","1,581796344","0,026740446","0,500801292","1,60224959","0,693856856"
12,19,"0,465526448","1,760776362","1,787641154","1,123346584","0,22783576","0,192396334","0,839510288","0,752105512","1,345651564","0,270546984"
12,20,"1,225999722","0,01099689","1,80032592","0,477558604","1,113581958","0,1726766","0,173356012","1,68202157","1,964242578","1,650325894"
12,21,"0,166681646","1,042011656","1,416891616","1,100250346","0,902438908","0,795452832","1,690891518","0,762939052","0,800854354","1,559968444"
13,20,"1,086088596","0,903647784","0,401603806","0,11469878","0,787423822","0,228255602","1,13108287","0,094202186","1,53182456","0,304957214"
13,21,"1,238984924","1,414106464","0,93543894","1,886116164","0,987832114","1,366431688","0,625544464","0,823636004","1,203827644","1,941321278"
13,22,"0,252152184","0,352137018","1,541923362","1,815063922","0,874311378","0,983402368","0,080489856","1,67854598","0,387147978","1,927782698"
14,21,"0,23467748","0,879110314","0,86505536","0,863557902","0,477302224","0,051427922","1,85495859","0,43456557","1,504246104","0,716702038"
14,22,"1,004161484","0,457068864","0,216487184","1,173845048","1,32964416","1,674603428","0,95887793","1,787185668","1,819545478","1,48212408"
14,23,"1,680286506","0,109095174","0,736198606","0,300053062","1,957718854","1,207686692","0,198541852","0,060079178","0,29309579","0,784337432"
15,22,"1,058602604","1,039060322","0,301180468","1,570416984","1,843003118","0,87638148","0,150102364","1,308735952","0,582633464","1,577788196"
15,23,"0,18155421","1,926340194","1,605552064","0,401446924","1,70291517","0,808624188","1,665365704","1,94947712","0,653422718","1,878401904"
15,24,"0,705105932","0,341524628","1,82160299","0,00308639","1,169652998","0,092022548","1,793021718","1,961407576","0,461954096","0,362603444"
16,23,"1,2640041","1,626702988","1,3034827","1,410043918","1,184877478","0,69920427","1,21808394","0,80238072","0,238406108","1,443527996"
16,24,"0,686771314","1,592446242","1,161641204","0,995909474","0,278296436","1,738965228","1,85694299","0,384061588","0,7581297","0,142654932"
17,25,"0,719642198","1,370285432","1,754604608","1,519811602","1,499946926","0,697602186","0,436269988","1,715845442","1,80755126","1,4411282"
17,26,"0,806873826","1,670435696","0,740635568","0,318211086","0,468924746","0,567093716","1,070139042","1,263849604","1,749168568","0,773245014"
18,25,"1,947729656","0,556382586","0,538585088","1,418121708","0,488044494","0,82825642","0,30547457","0,773284188","1,284390506","0,361000418"
18,26,"0,602790334","0,585335026","1,762865724","0,401874918","0,069507654","0,479666668","0,568100384","0,264422378","1,10886345","1,614460494"
